Palavras-chave,Covidence #
"Bayesian models, Child wasting, INLA models, MUAC, Travel time, Undernutrition",#274
"Malnutrition, Food insecurity, Gender and race disparities, Obesity and underweight, Brazilian population",#719
"Undernutrition, Maternal Anemia, Co-occurrence, Maternal Health",#113
"Adolescent girls, Composite index anthropometric failure, Undernutrition, Overweight/obesity",#96
"malnutrition, infant, Madagascar",#434
"Drought, Climate shocks, Undernutrition, Social protection, Cash transfers",#74
"cluster survey, coverage, SQUEAC, severe acute malnutrition, therapeutic feeding program",#875
"Child, Democratic republic of congo, Post-conflict, Hunger, Malnutrition, Food insecurity, Growth disorders, Risk factors, case-control studies",#146
"Food insecurity, dietary intake, anthropometric status, children, primary schools",#825
"Generalized structural equation modeling, Direct and indirect determinants, chronic undernutrition, Children, Ethiopi",#180
"Child health, labor markets, mothers’ decision-making, employment type, Nigeria, sub-Sahara Africa",#850
"Adolescent boys and girls, Anthropometry, Diet diversity, Livelihood",#204
"Malnourishment, Globalization, Sub-Saharan Africa, Panel instrumental variable quantile regression",#408
"health crises, malnutrition, food prices, panel ARDL",#421
"intergenerational chronic undernutrition, spatial analysis, multilevel analysis, Ethiopian, EDHS, malnutrition determinants",#816
"childhood malnutrition, intergeneration malnutrition, acute malnutrition, stunting, anemia, maternal and child health",#79
"Severe acute malnutrition, Outpatient therapeutic care, Ready-To-Use therapeutic food, Uganda, Crisis",#129
"child anthropometric failure, coexisting undernutrition, sub-Saharan Africa",#648
"Child undernutrition, Stunting, Wasting, Seasonal variation, Children, Ethiopia",#142
"South Sudan, Armed conflict, Child health, Global acute malnutrition, Under-five crude mortality, Panel data analysis",#25
"Child malnutrition, Socioeconomic disparities, Rural-urban differentials, Stunting, Wasting, Overweight, Sub-Saharan Africa, Demographic and health surveys",#97
"Child malnutrition, Decomposition, Socioeconomic inequality, Kenya, Stunting, Underweight, Wasting, Demographic health survey",#38
"child wasting, determinants, predictive algorithms, random forest, undernutrition",#235
"Undernutrition, Wealth inequality, Under-five children, SSA",#152
"Food insecurity, Rural, Food availability, Access to food, Utilization, Stability",#1010
food security; food insecurity; entrepreneurship; agri-business; conflict; South Sudan,#1237
"Child health, Food consumption patterns, Malnutrition, Nutritional status",#1023
Hunger; Malnutrition; Social issue; Natural disasters; Haiti,#6881
"Prevalence, stunting, underweight, wasting, Ethiopia",#1532
" Desnutrição infantil, Fome, Morbidade, Prevalência.",#1611
"malnutrition, sex, treatment, undernutrition, wasting",#1224
"Madagascar, Malnutrition, MCHW, Price stabilisation policy, Rice",#1012
"anaemia, malaria, nutritional status, schoolchildren, Tanzania, undernutrition",#1277
"Stunting, South Africa, Children, Population-level evaluation",#1256
"Food insecurity, malnutrition, stunting, Ethiopia, prevalence",#1561
"retrospective cohort, predictors, recovery, severe acute malnutrition, Ethiopia",#1449
"Causes of death, Starvation, Verbal autopsy, Tigray",#923
"dietary diversity, undernutrition, multilevel logistic regression, children, Ethiopia",#1458
"Sex differences, Gender inequality, Undernutrition, Stunting, Wasting, Underweight, Ethiopia",#1669
"Periconceptional nutritional status, Low birthweight, Stunting, Food insecurity, Dietary diversity, Food expenditure, LMIC",#8530
