article_index,article_title,missing_before,missing_after,external_sources_used
1,Bayesian mixed effect models to account for environmental modulators of acute malnutrition treatment in children,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
2,Black women facing food insecurity are more vulnerable to the double burden of malnutrition in Brazil: evidence from Brazilian National Dietary Survey,journal; doi; abstract; keywords_author,none,crossref_title; scrape_url
3,Co-occurrence of maternal anemia and child undernutrition in Ethiopia: multilevel analysis of analysis of EDHS data (2005–2016),journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
4,"Composite index anthropometric failures and associated factors among school adolescent girls in Debre Berhan city, central Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; scrape_url
5,Double Burden of Malnutrition in Rural Madagascar: A Study on Infant Health in Ampefy,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
6,Early life exposure to climate shocks and the protective role of cash transfers,journal; doi; abstract; keywords_author,abstract,crossref_title; semantic_scholar_title
7,"Estimating program coverage in the treatment of acute malnutrition using population-based cluster survey methods: results from surveys in Burkina Faso, Chad, Democratic Republic of the Congo, and Niger",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
8,Exploring the reality of global food insecurity and policy gaps,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
9,"Food insecurity, feeding practices and associated factors of acute malnutrition among children under 5 years of age in a post-conflict context in the Kasai region, Democratic Republic of Congo: a community-based case-control study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
10,"FOOD SECURITY, DIETARY QUALITY AND GROWTH OUTCOMES AMONG SCHOOL CHILDREN IN EHLANZENI DISTRICT, SOUTH AFRICA",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
11,Generalized structural equation modeling of direct and indirect determinants of chronic undernutrition among under-five children in Ethiopia: further analysis of the 2019 mini Ethiopian demographic and health survey,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
12,Household labor market dynamics and child health status. The case of Nigeria,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
13,"Household livelihood, diet, and nutritional status of adolescent schoolchildren in Kuyu District, North Shewa, Oromia, Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; scrape_url
14,"How does trade, financial, social, and political globalization influence malnutrition in sub-Saharan Africa?",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
15,Hunger and Malnutrition in a COVID-19 Environment: What Are the Effects Amidst Rising Food Prices in Sub-Saharan Africa?,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
16,Intergenerational chronic undernutrition pattern and determinants in Ethiopia: a multilevel and spatial analysis of EDHS data (2000–2016),journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
17,Nutritional status of children aged 6–59 mo born to mothers treated for severe acute malnutrition in childhood: an observational Lwiro cohort study in Democratic Republic of Congo,journal; doi; abstract; keywords_author,abstract,crossref_title; manual_keywords
18,Outpatient treatment of children with severe acute malnutrition within the health care system in a humanitarian crisis: a cross-sectional study in Uganda during the Horn of Africa drought response,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
19,"Prevalence of undernutrition and its associated factors among orphans aged 6–59 months in Nekemte town, Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; scrape_url
20,"Rates and risk factors for relapse among children recovered from severe acute malnutrition in Mali, South Sudan, and Somalia: a prospective cohort study",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
21,Risk Factors of Standalone and Coexisting Forms of Undernutrition Among Children in Sub-Saharan Africa: A Study Using Data from 26 Country-Based Demographic and Health Surveys,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
22,"Seasonal prevalence of child undernutrition and its associated factors in the west Gojjam zone, Ethiopia",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
23,Societies at risk: the correlation between intensity of armed conflict and child health during the civil war in South Sudan,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
24,Socio-economic and rural-urban disparities in the double burden of childhood malnutrition in sub-Saharan Africa,journal; doi; abstract; keywords_author,none,crossref_title; scrape_url
25,"Socioeconomic disparities in child malnutrition: trends, determinants, and policy implications from the Kenya demographic and health survey (2014 - 2022)",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
26,Socioeconomic Risk Factors Associated With Acute Malnutrition Severity Among Under-Five Children Based on a Machine Learning Approach: The Case of Rural Emergency Contexts in Niger and Mali,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
27,Spatial distribution and factors associated with coexisting undernutrition among under-five children in Ethiopia: Evidence from the 2019 Mini-Demographic and Health Survey,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
28,Wealth-related inequalities in undernutrition among under-five children in sub-Saharan Africa,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
29,A comprehensive analysis of food insecurity in the drought–prone rural areas of Tigray,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
30,Addressing Food Insecurity in South Sudan: Insights and Solutions from Young Entrepreneurs,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
31,"Association of food consumption patterns and nutritional status of children under 5 years from rural households in Northern regions, Namibia",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
32,DÈYÈMÒNGENMÒN: THE CONSTRUCTION OF HUNGER IN HAITI AT THE HANDS OF CAPITAL,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
