rank,keyword,frequency,share_pct,cumulative_share_pct,dominant_source,article_count
1,medicine,182,8.7923,8.7923,author_keywords,181
2,environmental health,126,6.087,14.8792,author_keywords,125
3,malnutrition,123,5.942,20.8213,author_keywords,122
4,geography,78,3.7681,24.5894,author_keywords,77
5,demography,74,3.5749,28.1643,author_keywords,73
6,pediatrics,56,2.7053,30.8696,author_keywords,56
7,population,54,2.6087,33.4783,author_keywords,53
8,economic growth,53,2.5604,36.0386,author_keywords,52
9,economics,52,2.5121,38.5507,author_keywords,51
10,overweight,40,1.9324,40.4831,author_keywords,40
11,underweight,39,1.8841,42.3671,author_keywords,39
12,socioeconomics,38,1.8357,44.2029,author_keywords,37
13,food security,35,1.6908,45.8937,author_keywords,34
14,wasting,35,1.6908,47.5845,author_keywords,35
15,body mass index,34,1.6425,49.2271,author_keywords,34
16,public health,34,1.6425,50.8696,author_keywords,33
17,agriculture,33,1.5942,52.4638,author_keywords,32
18,logistic regression,31,1.4976,53.9614,author_keywords,31
19,anthropometry,29,1.401,55.3623,author_keywords,28
20,developing country,28,1.3527,56.715,author_keywords,27
21,internal medicine,28,1.3527,58.0676,author_keywords,28
22,political science,26,1.256,59.3237,author_keywords,26
23,cross sectional study,24,1.1594,60.4831,author_keywords,23
24,severe acute malnutrition,21,1.0145,61.4976,author_keywords,21
25,psychological intervention,19,0.9179,62.4155,author_keywords,19
26,nursing,18,0.8696,63.285,author_keywords,18
27,socioeconomic status,18,0.8696,64.1546,author_keywords,17
28,development economics,17,0.8213,64.9758,author_keywords,17
29,gerontology,17,0.8213,65.7971,author_keywords,17
30,sociology,16,0.7729,66.57,author_keywords,16
31,confidence interval,15,0.7246,67.2947,author_keywords,15
32,food insecurity,14,0.6763,67.971,author_keywords,14
33,mathematics,14,0.6763,68.6473,author_keywords,14
34,obesity,14,0.6763,69.3237,author_keywords,14
35,odds ratio,13,0.628,69.9517,author_keywords,13
36,poverty,13,0.628,70.5797,author_keywords,13
37,business,12,0.5797,71.1594,author_keywords,12
38,biology,11,0.5314,71.6908,author_keywords,11
39,statistics,11,0.5314,72.2222,author_keywords,11
40,biostatistics,10,0.4831,72.7053,author_keywords,9
41,ecology,10,0.4831,73.1884,author_keywords,10
42,pregnancy,10,0.4831,73.6715,author_keywords,10
43,psychology,10,0.4831,74.1546,author_keywords,10
44,inequality,9,0.4348,74.5894,author_keywords,9
45,malnutrition in children,9,0.4348,75.0242,author_keywords,9
46,residence,9,0.4348,75.4589,author_keywords,9
47,child mortality,8,0.3865,75.8454,author_keywords,8
48,under five,7,0.3382,76.1836,author_keywords,7
49,clinical nutrition,6,0.2899,76.4734,author_keywords,6
50,cohort,6,0.2899,76.7633,author_keywords,6
51,demographic economics,6,0.2899,77.0531,author_keywords,6
52,politics,6,0.2899,77.343,author_keywords,6
53,climate change,5,0.2415,77.5845,author_keywords,5
54,computer science,5,0.2415,77.8261,author_keywords,5
55,context archaeology,5,0.2415,78.0676,author_keywords,5
56,dietary diversity,5,0.2415,78.3092,author_keywords,5
57,econometrics,5,0.2415,78.5507,author_keywords,5
58,famine,5,0.2415,78.7923,author_keywords,5
59,government linguistics,5,0.2415,79.0338,author_keywords,5
60,livelihood,5,0.2415,79.2754,author_keywords,5
61,odds,5,0.2415,79.5169,author_keywords,5
62,descriptive statistics,4,0.1932,79.7101,author_keywords,4
63,disease,4,0.1932,79.9034,author_keywords,4
64,family medicine,4,0.1932,80.0966,author_keywords,4
65,intervention counseling,4,0.1932,80.2899,author_keywords,4
66,law,4,0.1932,80.4831,author_keywords,4
67,low birth weight,4,0.1932,80.6763,author_keywords,4
68,nutrition disorders,4,0.1932,80.8696,author_keywords,4
69,retrospective cohort study,4,0.1932,81.0628,author_keywords,4
70,surgery,4,0.1932,81.256,author_keywords,4
71,systematic sampling,4,0.1932,81.4493,author_keywords,4
72,tanzania,4,0.1932,81.6425,author_keywords,4
73,action physics,3,0.1449,81.7874,author_keywords,3
74,anemia,3,0.1449,81.9324,author_keywords,3
75,birth order,3,0.1449,82.0773,author_keywords,3
76,breastfeeding,3,0.1449,82.2222,author_keywords,3
77,child health,3,0.1449,82.3671,author_keywords,3
78,cluster spacecraft,3,0.1449,82.5121,author_keywords,3
79,cohort study,3,0.1449,82.657,author_keywords,3
80,coronavirus disease 2019 covid 19,3,0.1449,82.8019,author_keywords,3
81,epidemiology,3,0.1449,82.9469,author_keywords,3
82,food prices,3,0.1449,83.0918,author_keywords,3
83,hazard ratio,3,0.1449,83.2367,author_keywords,3
84,human capital,3,0.1449,83.3816,author_keywords,3
85,latin americans,3,0.1449,83.5266,author_keywords,3
86,marital status,3,0.1449,83.6715,author_keywords,3
87,multivariate analysis,3,0.1449,83.8164,author_keywords,3
88,nutrition education,3,0.1449,83.9614,author_keywords,3
89,obstetrics,3,0.1449,84.1063,author_keywords,3
90,panel data,3,0.1449,84.2512,author_keywords,3
91,proportional hazards model,3,0.1449,84.3961,author_keywords,3
92,psychiatry,3,0.1449,84.5411,author_keywords,3
93,rural area,3,0.1449,84.686,author_keywords,3
94,sanitation,3,0.1449,84.8309,author_keywords,3
95,social science,3,0.1449,84.9758,author_keywords,3
96,artificial intelligence,2,0.0966,85.0725,author_keywords,2
97,birth weight,2,0.0966,85.1691,author_keywords,2
98,breast feeding,2,0.0966,85.2657,author_keywords,2
99,calorie,2,0.0966,85.3623,author_keywords,2
100,cognition,2,0.0966,85.4589,author_keywords,2
101,confounding,2,0.0966,85.5556,author_keywords,2
102,consumption sociology,2,0.0966,85.6522,author_keywords,2
103,democracy,2,0.0966,85.7488,author_keywords,2
104,disease burden,2,0.0966,85.8454,author_keywords,2
105,distribution mathematics,2,0.0966,85.942,author_keywords,2
106,empowerment,2,0.0966,86.0386,author_keywords,2
107,endocrinology,2,0.0966,86.1353,author_keywords,2
108,environmental science,2,0.0966,86.2319,author_keywords,2
109,estimation,2,0.0966,86.3285,author_keywords,2
110,ethnic group,2,0.0966,86.4251,author_keywords,2
111,extreme weather,2,0.0966,86.5217,author_keywords,2
112,health informatics,2,0.0966,86.6184,author_keywords,2
113,index typography,2,0.0966,86.715,author_keywords,2
114,infant mortality,2,0.0966,86.8116,author_keywords,2
115,internally displaced person,2,0.0966,86.9082,author_keywords,2
116,kwashiorkor,2,0.0966,87.0048,author_keywords,2
117,marasmus,2,0.0966,87.1014,author_keywords,2
118,meteorology,2,0.0966,87.1981,author_keywords,2
119,micronutrient deficiency,2,0.0966,87.2947,author_keywords,2
120,multilevel model,2,0.0966,87.3913,author_keywords,2
121,pandemic,2,0.0966,87.4879,author_keywords,2
122,pathology,2,0.0966,87.5845,author_keywords,2
123,per capita,2,0.0966,87.6812,author_keywords,2
124,pneumonia,2,0.0966,87.7778,author_keywords,2
125,prenatal care,2,0.0966,87.8744,author_keywords,2
126,primary care,2,0.0966,87.971,author_keywords,2
127,primary health care,2,0.0966,88.0676,author_keywords,2
128,psychological resilience,2,0.0966,88.1643,author_keywords,2
129,public economics,2,0.0966,88.2609,author_keywords,2
130,qualitative research,2,0.0966,88.3575,author_keywords,2
131,quantile,2,0.0966,88.4541,author_keywords,2
132,quantile regression,2,0.0966,88.5507,author_keywords,2
133,regression analysis,2,0.0966,88.6473,author_keywords,2
134,research methodology,2,0.0966,88.744,author_keywords,2
135,social psychology,2,0.0966,88.8406,author_keywords,2
136,sustainable development,2,0.0966,88.9372,author_keywords,2
137,test biology,2,0.0966,89.0338,author_keywords,2
138,urbanization,2,0.0966,89.1304,author_keywords,2
139,vulnerability computing,2,0.0966,89.2271,author_keywords,2
140,weight for age,2,0.0966,89.3237,author_keywords,2
141,2019 20 coronavirus outbreak,1,0.0483,89.372,author_keywords,1
142,acute malnutrition,1,0.0483,89.4203,author_keywords,1
143,adaptive capacity,1,0.0483,89.4686,author_keywords,1
144,adjusted odds ratios,1,0.0483,89.5169,author_keywords,1
145,adolescent boys and girls,1,0.0483,89.5652,author_keywords,1
146,adverse weather,1,0.0483,89.6135,author_keywords,1
147,agency philosophy,1,0.0483,89.6618,author_keywords,1
148,agrarian society,1,0.0483,89.7101,author_keywords,1
149,allometry,1,0.0483,89.7585,author_keywords,1
150,archaeology,1,0.0483,89.8068,author_keywords,1
151,armed conflict,1,0.0483,89.8551,author_keywords,1
152,art,1,0.0483,89.9034,author_keywords,1
153,autonomy,1,0.0483,89.9517,author_keywords,1
154,autopsy,1,0.0483,90.0,author_keywords,1
155,average treatment effect,1,0.0483,90.0483,author_keywords,1
156,bayesian probability,1,0.0483,90.0966,author_keywords,1
157,biomedicine,1,0.0483,90.1449,author_keywords,1
158,bivariate analysis,1,0.0483,90.1932,author_keywords,1
159,body mass index for age,1,0.0483,90.2415,author_keywords,1
160,cape,1,0.0483,90.2899,author_keywords,1
161,capital architecture,1,0.0483,90.3382,author_keywords,1
162,caregivers,1,0.0483,90.3865,author_keywords,1
163,cartography,1,0.0483,90.4348,author_keywords,1
164,cash,1,0.0483,90.4831,author_keywords,1
165,cash transfers,1,0.0483,90.5314,author_keywords,1
166,cause of death,1,0.0483,90.5797,author_keywords,1
167,center for food security studies college of development studies,1,0.0483,90.628,author_keywords,1
168,child survival,1,0.0483,90.6763,author_keywords,1
169,childbirth,1,0.0483,90.7246,author_keywords,1
170,childhood malnutrition,1,0.0483,90.7729,author_keywords,1
171,children,1,0.0483,90.8213,author_keywords,1
172,citizen journalism,1,0.0483,90.8696,author_keywords,1
173,civil society,1,0.0483,90.9179,author_keywords,1
174,climate model,1,0.0483,90.9662,author_keywords,1
175,climatology,1,0.0483,91.0145,author_keywords,1
176,clinical psychology,1,0.0483,91.0628,author_keywords,1
177,cluster randomised controlled trial,1,0.0483,91.1111,author_keywords,1
178,cognitive decline,1,0.0483,91.1594,author_keywords,1
179,cointegration,1,0.0483,91.2077,author_keywords,1
180,cold weather,1,0.0483,91.256,author_keywords,1
181,composition language,1,0.0483,91.3043,author_keywords,1
182,confidence intervals,1,0.0483,91.3527,author_keywords,1
183,conflation,1,0.0483,91.401,author_keywords,1
184,confusion matrix,1,0.0483,91.4493,author_keywords,1
185,coping psychology,1,0.0483,91.4976,author_keywords,1
186,corporate governance,1,0.0483,91.5459,author_keywords,1
187,counterfactual thinking,1,0.0483,91.5942,author_keywords,1
188,data collection,1,0.0483,91.6425,author_keywords,1
189,degree music,1,0.0483,91.6908,author_keywords,1
190,descendant,1,0.0483,91.7391,author_keywords,1
191,developmental psychology,1,0.0483,91.7874,author_keywords,1
192,diarrhea,1,0.0483,91.8357,author_keywords,1
193,diet diversity,1,0.0483,91.8841,author_keywords,1
194,difference in differences,1,0.0483,91.9324,author_keywords,1
195,disadvantaged,1,0.0483,91.9807,author_keywords,1
196,diversity politics,1,0.0483,92.029,author_keywords,1
197,double burden,1,0.0483,92.0773,author_keywords,1
198,dynamics music,1,0.0483,92.1256,author_keywords,1
199,early childhood,1,0.0483,92.1739,author_keywords,1
200,effects of global warming,1,0.0483,92.2222,author_keywords,1
201,endogeneity,1,0.0483,92.2705,author_keywords,1
202,entitlement fair division,1,0.0483,92.3188,author_keywords,1
